2026-06-11 23:53:31,791 | DEBUG    | Matched='Mechanical Engineering Department' Score=0.54
2026-06-11 23:53:32,782 | DEBUG    | Query='directions from cafeteria to gym' Intent=find_location Conf=0.99
2026-06-11 23:53:32,920 | DEBUG    | Matched='Campus Fitness Centre' Score=0.58
2026-06-11 23:53:33,278 | DEBUG    | Query='how to get from library to admin office' Intent=find_location Conf=0.99
2026-06-11 23:53:33,829 | DEBUG    | Matched='Administrative Office' Score=0.49
2026-06-11 23:55:32,309 | INFO     | Loading intent classifier...
2026-06-11 23:55:33,526 | INFO     | Loading retrieval model...
2026-06-11 23:55:35,397 | INFO     | All models loaded.
2026-06-11 23:55:35,451 | DEBUG    | Query='direction from civil department to mechanical department' Intent=find_location Conf=0.99
2026-06-11 23:55:35,675 | DEBUG    | Matched='Mechanical Engineering Department' Score=0.54
2026-06-11 23:55:55,330 | DEBUG    | Query='from library to robotics lab' Intent=find_location Conf=0.99
2026-06-11 23:55:55,618 | DEBUG    | Matched='Robotics and Automation Lab' Score=0.66
